loop_count=27900/100000, max_score=963.094, min_score=949.428, running_time=5.9742h, search_time=4.11828h
loop_count=28000/100000, max_score=963.094, min_score=949.561, running_time=5.99881h, search_time=4.13423h
loop_count=28100/100000, max_score=967.384, min_score=949.641, running_time=6.02286h, search_time=4.14999h
loop_count=28200/100000, max_score=967.384, min_score=949.75, running_time=6.04696h, search_time=4.16586h
loop_count=28300/100000, max_score=967.384, min_score=949.924, running_time=6.07101h, search_time=4.18199h
loop_count=28400/100000, max_score=967.384, min_score=950.151, running_time=6.09426h, search_time=4.19824h
loop_count=28500/100000, max_score=967.384, min_score=950.255, running_time=6.11805h, search_time=4.21369h
loop_count=28600/100000, max_score=967.384, min_score=950.368, running_time=6.14171h, search_time=4.22927h
loop_count=28700/100000, max_score=967.384, min_score=950.493, running_time=6.16426h, search_time=4.24519h
loop_count=28800/100000, max_score=967.384, min_score=950.622, running_time=6.18784h, search_time=4.26125h
loop_count=28900/100000, max_score=967.384, min_score=950.704, running_time=6.21159h, search_time=4.27692h
loop_count=29000/100000, max_score=967.384, min_score=950.769, running_time=6.23633h, search_time=4.29256h
loop_count=29100/100000, max_score=968.776, min_score=950.826, running_time=6.25978h, search_time=4.30833h
loop_count=29200/100000, max_score=968.776, min_score=950.93, running_time=6.28314h, search_time=4.3243h
loop_count=29300/100000, max_score=968.776, min_score=951.067, running_time=6.30538h, search_time=4.33974h
loop_count=29400/100000, max_score=968.776, min_score=951.135, running_time=6.32836h, search_time=4.35526h
loop_count=29500/100000, max_score=968.776, min_score=951.288, running_time=6.35128h, search_time=4.37156h
loop_count=29600/100000, max_score=968.776, min_score=951.36, running_time=6.37485h, search_time=4.38722h
loop_count=29700/100000, max_score=968.776, min_score=951.435, running_time=6.39867h, search_time=4.40344h
