The seed number is set to 456
loop_count=24600/100000, max_score=938.245, min_score=897.778, time=2.04692h
loop_count=24700/100000, max_score=938.245, min_score=898.169, time=2.05633h
loop_count=24800/100000, max_score=938.245, min_score=898.283, time=2.06521h
loop_count=24900/100000, max_score=938.245, min_score=898.532, time=2.07404h
loop_count=25000/100000, max_score=938.245, min_score=898.732, time=2.08346h
loop_count=25100/100000, max_score=938.245, min_score=899.119, time=2.09273h
loop_count=25200/100000, max_score=946.899, min_score=899.433, time=2.10259h
loop_count=25300/100000, max_score=946.899, min_score=899.641, time=2.11114h
loop_count=25400/100000, max_score=946.899, min_score=899.95, time=2.11989h
loop_count=25500/100000, max_score=946.899, min_score=900.072, time=2.12925h
loop_count=25600/100000, max_score=946.899, min_score=900.372, time=2.1385h
loop_count=25700/100000, max_score=946.899, min_score=900.623, time=2.1475h
loop_count=25800/100000, max_score=946.899, min_score=900.747, time=2.1555h
loop_count=25900/100000, max_score=946.899, min_score=900.91, time=2.1641h
loop_count=26000/100000, max_score=946.899, min_score=901.042, time=2.17384h
loop_count=26100/100000, max_score=946.899, min_score=901.342, time=2.18316h
loop_count=26200/100000, max_score=946.899, min_score=901.437, time=2.19107h
loop_count=26300/100000, max_score=946.899, min_score=901.599, time=2.19827h
loop_count=26400/100000, max_score=946.899, min_score=901.828, time=2.20364h
loop_count=26500/100000, max_score=946.899, min_score=901.965, time=2.21123h
loop_count=26600/100000, max_score=946.899, min_score=902.241, time=2.21855h
loop_count=26700/100000, max_score=946.899, min_score=902.739, time=2.22577h
loop_count=26800/100000, max_score=946.899, min_score=903.197, time=2.23404h
loop_count=26900/100000, max_score=946.899, min_score=903.346, time=2.24111h
loop_count=27000/100000, max_score=946.899, min_score=903.72, time=2.24936h
loop_count=27100/100000, max_score=946.899, min_score=903.978, time=2.25696h
loop_count=27200/100000, max_score=946.899, min_score=904.274, time=2.26294h
loop_count=27300/100000, max_score=946.899, min_score=904.512, time=2.27098h
loop_count=27400/100000, max_score=947.241, min_score=904.737, time=2.27828h
loop_count=27500/100000, max_score=947.241, min_score=904.98, time=2.28505h
loop_count=27600/100000, max_score=947.241, min_score=905.409, time=2.29245h
loop_count=27700/100000, max_score=947.241, min_score=905.577, time=2.29859h
loop_count=27800/100000, max_score=947.241, min_score=905.697, time=2.3051h
loop_count=27900/100000, max_score=947.241, min_score=905.755, time=2.31287h
loop_count=28000/100000, max_score=947.241, min_score=905.854, time=2.3209h
loop_count=28100/100000, max_score=947.241, min_score=906.008, time=2.32765h
loop_count=28200/100000, max_score=947.241, min_score=906.336, time=2.33522h
loop_count=28300/100000, max_score=947.241, min_score=906.532, time=2.3414h
loop_count=28400/100000, max_score=947.241, min_score=906.87, time=2.34841h
loop_count=28500/100000, max_score=947.241, min_score=907.307, time=2.35605h
loop_count=28600/100000, max_score=947.241, min_score=907.584, time=2.36394h
loop_count=28700/100000, max_score=947.241, min_score=907.946, time=2.37046h
loop_count=28800/100000, max_score=947.241, min_score=908.125, time=2.3765h
loop_count=28900/100000, max_score=947.241, min_score=908.45, time=2.38318h
loop_count=29000/100000, max_score=947.241, min_score=908.688, time=2.38973h
loop_count=29100/100000, max_score=947.241, min_score=908.982, time=2.39727h
loop_count=29200/100000, max_score=947.241, min_score=909.266, time=2.40426h
loop_count=29300/100000, max_score=947.241, min_score=909.375, time=2.41231h
loop_count=29400/100000, max_score=947.241, min_score=909.81, time=2.41829h
loop_count=29500/100000, max_score=947.241, min_score=910.016, time=2.42432h
loop_count=29600/100000, max_score=947.241, min_score=910.515, time=2.4307h
loop_count=29700/100000, max_score=947.241, min_score=910.825, time=2.43796h
loop_count=29800/100000, max_score=947.241, min_score=911.126, time=2.44565h
loop_count=29900/100000, max_score=947.241, min_score=911.258, time=2.45168h
loop_count=30000/100000, max_score=947.241, min_score=911.704, time=2.45953h
loop_count=30100/100000, max_score=947.241, min_score=911.849, time=2.4661h
loop_count=30200/100000, max_score=947.241, min_score=912.014, time=2.47299h
loop_count=30300/100000, max_score=947.241, min_score=912.372, time=2.48045h
loop_count=30400/100000, max_score=947.241, min_score=912.735, time=2.48697h
loop_count=30500/100000, max_score=947.241, min_score=912.922, time=2.49438h
loop_count=30600/100000, max_score=947.241, min_score=913.147, time=2.5014h
loop_count=30700/100000, max_score=947.241, min_score=913.342, time=2.50884h
loop_count=30800/100000, max_score=947.241, min_score=913.633, time=2.51587h
loop_count=30900/100000, max_score=947.241, min_score=914.216, time=2.52275h
loop_count=31000/100000, max_score=947.241, min_score=914.882, time=2.5303h
loop_count=31100/100000, max_score=947.241, min_score=915.182, time=2.5369h
loop_count=31200/100000, max_score=947.241, min_score=915.419, time=2.54372h
loop_count=31300/100000, max_score=947.241, min_score=915.595, time=2.55121h
loop_count=31400/100000, max_score=947.241, min_score=915.725, time=2.55819h
loop_count=31500/100000, max_score=947.241, min_score=915.848, time=2.56627h
loop_count=31600/100000, max_score=947.241, min_score=916.273, time=2.57347h
loop_count=31700/100000, max_score=947.241, min_score=916.497, time=2.58121h
loop_count=31800/100000, max_score=947.241, min_score=916.825, time=2.58844h
loop_count=31900/100000, max_score=947.241, min_score=917.208, time=2.5963h
loop_count=32000/100000, max_score=947.241, min_score=917.432, time=2.60249h
loop_count=32100/100000, max_score=947.241, min_score=917.863, time=2.60957h
loop_count=32200/100000, max_score=947.241, min_score=918.039, time=2.61685h
loop_count=32300/100000, max_score=947.241, min_score=918.19, time=2.6232h
loop_count=32400/100000, max_score=947.241, min_score=918.473, time=2.63018h
loop_count=32500/100000, max_score=947.241, min_score=918.696, time=2.63668h
loop_count=32600/100000, max_score=947.241, min_score=918.907, time=2.64441h
loop_count=32700/100000, max_score=947.241, min_score=919.016, time=2.65023h
loop_count=32800/100000, max_score=947.241, min_score=919.3, time=2.65666h
loop_count=32900/100000, max_score=947.241, min_score=919.346, time=2.66366h
loop_count=33000/100000, max_score=947.241, min_score=919.509, time=2.67084h
loop_count=33100/100000, max_score=947.241, min_score=919.789, time=2.67722h
loop_count=33200/100000, max_score=947.241, min_score=919.931, time=2.68422h
loop_count=33300/100000, max_score=947.241, min_score=920.138, time=2.69253h
loop_count=33400/100000, max_score=947.241, min_score=920.307, time=2.69972h
loop_count=33500/100000, max_score=947.241, min_score=920.527, time=2.70724h
loop_count=33600/100000, max_score=947.241, min_score=920.838, time=2.71399h
loop_count=33700/100000, max_score=947.241, min_score=920.959, time=2.7208h
loop_count=33800/100000, max_score=947.241, min_score=921.268, time=2.72784h
loop_count=33900/100000, max_score=947.241, min_score=921.458, time=2.73667h
loop_count=34000/100000, max_score=947.241, min_score=921.639, time=2.74411h
loop_count=34100/100000, max_score=947.241, min_score=921.758, time=2.75049h
loop_count=34200/100000, max_score=947.241, min_score=921.967, time=2.75872h
loop_count=34300/100000, max_score=947.241, min_score=922.212, time=2.76684h
loop_count=34400/100000, max_score=947.241, min_score=922.363, time=2.77377h
loop_count=34500/100000, max_score=947.241, min_score=922.595, time=2.78065h
loop_count=34600/100000, max_score=947.241, min_score=922.711, time=2.78816h
loop_count=34700/100000, max_score=947.241, min_score=923.07, time=2.79635h
loop_count=34800/100000, max_score=947.241, min_score=923.269, time=2.80317h
loop_count=34900/100000, max_score=947.241, min_score=923.454, time=2.80949h
loop_count=35000/100000, max_score=947.241, min_score=923.553, time=2.81681h
loop_count=35100/100000, max_score=947.241, min_score=923.759, time=2.82496h
loop_count=35200/100000, max_score=947.241, min_score=923.853, time=2.83276h
loop_count=35300/100000, max_score=947.241, min_score=924.051, time=2.84023h
loop_count=35400/100000, max_score=947.241, min_score=924.173, time=2.84714h
loop_count=35500/100000, max_score=947.241, min_score=924.452, time=2.85524h
loop_count=35600/100000, max_score=947.435, min_score=924.534, time=2.86354h
loop_count=35700/100000, max_score=947.435, min_score=924.74, time=2.87438h
loop_count=35800/100000, max_score=947.435, min_score=924.925, time=2.88356h
loop_count=35900/100000, max_score=947.435, min_score=925.116, time=2.89278h
loop_count=36000/100000, max_score=947.435, min_score=925.257, time=2.90218h
loop_count=36100/100000, max_score=947.435, min_score=925.374, time=2.91152h
loop_count=36200/100000, max_score=947.435, min_score=925.426, time=2.92046h
loop_count=36300/100000, max_score=947.435, min_score=925.623, time=2.92989h
loop_count=36400/100000, max_score=947.435, min_score=925.827, time=2.93951h
loop_count=36500/100000, max_score=947.435, min_score=925.94, time=2.94843h
loop_count=36600/100000, max_score=949.186, min_score=926.008, time=2.95851h
loop_count=36700/100000, max_score=949.186, min_score=926.22, time=2.9674h
loop_count=36800/100000, max_score=949.186, min_score=926.366, time=2.9759h
loop_count=36900/100000, max_score=949.186, min_score=926.473, time=2.98642h
loop_count=37000/100000, max_score=949.186, min_score=926.568, time=2.99508h
loop_count=37100/100000, max_score=949.186, min_score=926.629, time=3.0053h
loop_count=37200/100000, max_score=949.186, min_score=926.725, time=3.01369h
loop_count=37300/100000, max_score=949.186, min_score=926.834, time=3.0232h
loop_count=37400/100000, max_score=949.186, min_score=927.024, time=3.03322h
loop_count=37500/100000, max_score=949.186, min_score=927.322, time=3.04259h
loop_count=37600/100000, max_score=949.186, min_score=927.382, time=3.05079h
loop_count=37700/100000, max_score=949.186, min_score=927.551, time=3.05953h
loop_count=37800/100000, max_score=949.186, min_score=927.613, time=3.06884h
loop_count=37900/100000, max_score=949.186, min_score=927.7, time=3.07756h
loop_count=38000/100000, max_score=949.186, min_score=927.851, time=3.08498h
loop_count=38100/100000, max_score=949.186, min_score=927.894, time=3.09481h
loop_count=38200/100000, max_score=949.186, min_score=928.15, time=3.10343h
loop_count=38300/100000, max_score=949.186, min_score=928.324, time=3.11341h
loop_count=38400/100000, max_score=949.186, min_score=928.467, time=3.12196h
loop_count=38500/100000, max_score=949.186, min_score=928.672, time=3.1314h
loop_count=38600/100000, max_score=949.186, min_score=928.863, time=3.14121h
loop_count=38700/100000, max_score=949.186, min_score=928.957, time=3.15071h
loop_count=38800/100000, max_score=949.186, min_score=929.072, time=3.16134h
loop_count=38900/100000, max_score=949.186, min_score=929.139, time=3.17288h
loop_count=39000/100000, max_score=949.186, min_score=929.182, time=3.18235h
loop_count=39100/100000, max_score=949.186, min_score=929.251, time=3.19074h
loop_count=39200/100000, max_score=949.186, min_score=929.502, time=3.20055h
loop_count=39300/100000, max_score=949.186, min_score=929.612, time=3.20939h
loop_count=39400/100000, max_score=949.186, min_score=929.649, time=3.21909h
loop_count=39500/100000, max_score=949.186, min_score=929.693, time=3.22813h
loop_count=39600/100000, max_score=949.186, min_score=929.731, time=3.23607h
loop_count=39700/100000, max_score=949.186, min_score=930.018, time=3.24578h
loop_count=39800/100000, max_score=949.186, min_score=930.153, time=3.25693h
