loop_count=17400/100000, max_score=91.9813, min_score=89.2374, running_time=2.23343h, search_time=0.804041h
loop_count=17500/100000, max_score=91.9813, min_score=89.2731, running_time=2.24852h, search_time=0.808885h
loop_count=17600/100000, max_score=91.9813, min_score=89.3195, running_time=2.26294h, search_time=0.813759h
loop_count=17700/100000, max_score=91.9813, min_score=89.3517, running_time=2.27908h, search_time=0.818626h
loop_count=17800/100000, max_score=91.9813, min_score=89.381, running_time=2.29421h, search_time=0.823375h
loop_count=17900/100000, max_score=91.9813, min_score=89.4168, running_time=2.30852h, search_time=0.828332h
loop_count=18000/100000, max_score=91.9813, min_score=89.4615, running_time=2.32194h, search_time=0.833128h
loop_count=18100/100000, max_score=91.9813, min_score=89.4935, running_time=2.33758h, search_time=0.838132h
loop_count=18200/100000, max_score=91.9813, min_score=89.5406, running_time=2.35271h, search_time=0.842882h
loop_count=18300/100000, max_score=91.9813, min_score=89.5857, running_time=2.36582h, search_time=0.847598h
loop_count=18400/100000, max_score=92.6883, min_score=89.6222, running_time=2.37957h, search_time=0.852287h
loop_count=18500/100000, max_score=92.6883, min_score=89.6524, running_time=2.39449h, search_time=0.856968h
loop_count=18600/100000, max_score=92.6883, min_score=89.6787, running_time=2.40815h, search_time=0.861731h
loop_count=18700/100000, max_score=92.6883, min_score=89.7196, running_time=2.42358h, search_time=0.866447h
loop_count=18800/100000, max_score=92.6883, min_score=89.7759, running_time=2.43749h, search_time=0.871289h
loop_count=18900/100000, max_score=92.6883, min_score=89.8218, running_time=2.45063h, search_time=0.876002h
loop_count=19000/100000, max_score=92.6883, min_score=89.8628, running_time=2.46621h, search_time=0.880801h
loop_count=19100/100000, max_score=92.6883, min_score=89.9004, running_time=2.48155h, search_time=0.885549h
loop_count=19200/100000, max_score=92.6883, min_score=89.9375, running_time=2.49577h, search_time=0.890496h
loop_count=19300/100000, max_score=92.6883, min_score=89.964, running_time=2.51155h, search_time=0.895185h
loop_count=19400/100000, max_score=92.6883, min_score=90.0018, running_time=2.52583h, search_time=0.899947h
loop_count=19500/100000, max_score=92.6883, min_score=90.0452, running_time=2.54132h, search_time=0.90479h
loop_count=19600/100000, max_score=92.6883, min_score=90.0883, running_time=2.55587h, search_time=0.909669h
loop_count=19700/100000, max_score=92.6883, min_score=90.1225, running_time=2.56981h, search_time=0.914547h
loop_count=19800/100000, max_score=92.6883, min_score=90.1578, running_time=2.58443h, search_time=0.919328h
loop_count=19900/100000, max_score=92.6883, min_score=90.1851, running_time=2.59825h, search_time=0.923878h
loop_count=20000/100000, max_score=92.6883, min_score=90.228, running_time=2.61331h, search_time=0.928599h
loop_count=20100/100000, max_score=92.7064, min_score=90.2592, running_time=2.62908h, search_time=0.933307h
loop_count=20200/100000, max_score=92.8139, min_score=90.285, running_time=2.64294h, search_time=0.938105h
loop_count=20300/100000, max_score=92.8139, min_score=90.3075, running_time=2.65773h, search_time=0.942879h
loop_count=20400/100000, max_score=92.8139, min_score=90.3386, running_time=2.67352h, search_time=0.947597h
loop_count=20500/100000, max_score=92.8139, min_score=90.3719, running_time=2.68747h, search_time=0.952214h
loop_count=20600/100000, max_score=92.8139, min_score=90.4032, running_time=2.70213h, search_time=0.956953h
loop_count=20700/100000, max_score=94.0395, min_score=90.443, running_time=2.71805h, search_time=0.961727h
loop_count=20800/100000, max_score=94.0395, min_score=90.4727, running_time=2.73236h, search_time=0.966549h
loop_count=20900/100000, max_score=94.0395, min_score=90.518, running_time=2.74523h, search_time=0.971442h
loop_count=21000/100000, max_score=94.0395, min_score=90.5511, running_time=2.75987h, search_time=0.976216h
loop_count=21100/100000, max_score=94.0395, min_score=90.5856, running_time=2.77414h, search_time=0.980925h
loop_count=21200/100000, max_score=94.0395, min_score=90.6088, running_time=2.7887h, search_time=0.985789h
loop_count=21300/100000, max_score=94.0395, min_score=90.6549, running_time=2.80274h, search_time=0.990466h
loop_count=21400/100000, max_score=94.0395, min_score=90.6992, running_time=2.81763h, search_time=0.995243h
loop_count=21500/100000, max_score=94.0395, min_score=90.7334, running_time=2.83192h, search_time=0.999917h
loop_count=21600/100000, max_score=94.0395, min_score=90.7567, running_time=2.84753h, search_time=1.00469h
loop_count=21700/100000, max_score=94.0395, min_score=90.7855, running_time=2.861h, search_time=1.00948h
loop_count=21800/100000, max_score=94.0395, min_score=90.8256, running_time=2.8753h, search_time=1.01435h
loop_count=21900/100000, max_score=94.0395, min_score=90.8615, running_time=2.89044h, search_time=1.01922h
loop_count=22000/100000, max_score=94.2059, min_score=90.8859, running_time=2.90426h, search_time=1.02424h
loop_count=22100/100000, max_score=94.2059, min_score=90.9072, running_time=2.91931h, search_time=1.02899h
loop_count=22200/100000, max_score=94.2059, min_score=90.9303, running_time=2.93447h, search_time=1.03372h
loop_count=22300/100000, max_score=94.2059, min_score=90.9499, running_time=2.94943h, search_time=1.03871h
