The seed number is set to 789
loop_count=20100/100000, max_score=90.3411, min_score=81.0481, time=0.919097h
loop_count=20200/100000, max_score=90.3411, min_score=81.1098, time=0.92341h
loop_count=20300/100000, max_score=90.3411, min_score=81.1683, time=0.927887h
loop_count=20400/100000, max_score=90.3411, min_score=81.2247, time=0.932645h
loop_count=20500/100000, max_score=90.3411, min_score=81.276, time=0.937231h
loop_count=20600/100000, max_score=90.3411, min_score=81.3117, time=0.941991h
loop_count=20700/100000, max_score=90.3411, min_score=81.3815, time=0.946696h
loop_count=20800/100000, max_score=90.3411, min_score=81.431, time=0.951681h
loop_count=20900/100000, max_score=90.3411, min_score=81.4822, time=0.956086h
loop_count=21000/100000, max_score=90.3411, min_score=81.5016, time=0.96052h
loop_count=21100/100000, max_score=90.3411, min_score=81.5862, time=0.964863h
loop_count=21200/100000, max_score=90.3411, min_score=81.6425, time=0.969416h
loop_count=21300/100000, max_score=90.3411, min_score=81.7344, time=0.974468h
loop_count=21400/100000, max_score=90.3411, min_score=81.8304, time=0.979482h
loop_count=21500/100000, max_score=90.3411, min_score=81.8911, time=0.983578h
loop_count=21600/100000, max_score=90.3411, min_score=81.932, time=0.9878h
loop_count=21700/100000, max_score=90.3411, min_score=81.9951, time=0.992559h
loop_count=21800/100000, max_score=90.3411, min_score=82.0518, time=0.99705h
loop_count=21900/100000, max_score=90.3411, min_score=82.1025, time=1.00193h
loop_count=22000/100000, max_score=90.3411, min_score=82.1999, time=1.00631h
loop_count=22100/100000, max_score=90.3411, min_score=82.2206, time=1.01068h
loop_count=22200/100000, max_score=90.3411, min_score=82.2983, time=1.01523h
loop_count=22300/100000, max_score=90.3411, min_score=82.3313, time=1.01985h
loop_count=22400/100000, max_score=90.3411, min_score=82.3941, time=1.02438h
loop_count=22500/100000, max_score=90.3411, min_score=82.4582, time=1.02888h
loop_count=22600/100000, max_score=90.3411, min_score=82.5205, time=1.03378h
loop_count=22700/100000, max_score=90.3411, min_score=82.5829, time=1.03836h
loop_count=22800/100000, max_score=90.3411, min_score=82.6398, time=1.04316h
loop_count=22900/100000, max_score=90.3411, min_score=82.6796, time=1.04763h
loop_count=23000/100000, max_score=90.3411, min_score=82.7158, time=1.05241h
loop_count=23100/100000, max_score=90.3411, min_score=82.7507, time=1.05714h
loop_count=23200/100000, max_score=90.3411, min_score=82.7919, time=1.06131h
loop_count=23300/100000, max_score=90.3411, min_score=82.826, time=1.06601h
loop_count=23400/100000, max_score=90.3411, min_score=82.8654, time=1.07091h
loop_count=23500/100000, max_score=90.3411, min_score=82.9077, time=1.07576h
loop_count=23600/100000, max_score=90.3411, min_score=82.9435, time=1.08054h
loop_count=23700/100000, max_score=90.3411, min_score=82.9884, time=1.08563h
loop_count=23800/100000, max_score=90.3411, min_score=83.0278, time=1.09034h
loop_count=23900/100000, max_score=90.3411, min_score=83.0599, time=1.09488h
loop_count=24000/100000, max_score=90.3411, min_score=83.1266, time=1.09941h
loop_count=24100/100000, max_score=90.3411, min_score=83.1561, time=1.10375h
loop_count=24200/100000, max_score=90.3411, min_score=83.1861, time=1.10836h
loop_count=24300/100000, max_score=90.3411, min_score=83.239, time=1.1131h
loop_count=24400/100000, max_score=90.3411, min_score=83.2737, time=1.1178h
loop_count=24500/100000, max_score=90.3411, min_score=83.3215, time=1.12249h
loop_count=24600/100000, max_score=90.3411, min_score=83.3425, time=1.12731h
loop_count=24700/100000, max_score=90.3411, min_score=83.3966, time=1.13193h
loop_count=24800/100000, max_score=90.3411, min_score=83.468, time=1.13671h
loop_count=24900/100000, max_score=90.3411, min_score=83.5304, time=1.14171h
loop_count=25000/100000, max_score=90.3411, min_score=83.5718, time=1.14628h
loop_count=25100/100000, max_score=90.3411, min_score=83.6365, time=1.15102h
loop_count=25200/100000, max_score=90.3411, min_score=83.7012, time=1.15594h
loop_count=25300/100000, max_score=90.3411, min_score=83.7266, time=1.16065h
loop_count=25400/100000, max_score=90.3411, min_score=83.7909, time=1.16523h
loop_count=25500/100000, max_score=90.3411, min_score=83.8272, time=1.1698h
loop_count=25600/100000, max_score=90.3411, min_score=83.847, time=1.17451h
loop_count=25700/100000, max_score=90.3411, min_score=83.8635, time=1.17912h
loop_count=25800/100000, max_score=90.3411, min_score=83.9005, time=1.18396h
loop_count=25900/100000, max_score=90.3411, min_score=83.9536, time=1.18862h
loop_count=26000/100000, max_score=90.3411, min_score=84.06, time=1.19323h
loop_count=26100/100000, max_score=90.3411, min_score=84.1186, time=1.19839h
loop_count=26200/100000, max_score=90.3411, min_score=84.1561, time=1.20289h
loop_count=26300/100000, max_score=90.3411, min_score=84.1996, time=1.2074h
loop_count=26400/100000, max_score=90.3411, min_score=84.2272, time=1.21248h
loop_count=26500/100000, max_score=90.3411, min_score=84.2408, time=1.21673h
loop_count=26600/100000, max_score=90.3411, min_score=84.2881, time=1.22135h
loop_count=26700/100000, max_score=90.3411, min_score=84.3363, time=1.22605h
loop_count=26800/100000, max_score=90.3411, min_score=84.3712, time=1.23081h
loop_count=26900/100000, max_score=90.3411, min_score=84.3847, time=1.23532h
loop_count=27000/100000, max_score=90.3411, min_score=84.3938, time=1.23974h
loop_count=27100/100000, max_score=90.3411, min_score=84.4464, time=1.24454h
loop_count=27200/100000, max_score=90.3411, min_score=84.5033, time=1.24942h
loop_count=27300/100000, max_score=90.3411, min_score=84.537, time=1.25366h
loop_count=27400/100000, max_score=90.3411, min_score=84.5914, time=1.2586h
loop_count=27500/100000, max_score=90.3411, min_score=84.6278, time=1.26324h
loop_count=27600/100000, max_score=90.3411, min_score=84.6776, time=1.26805h
loop_count=27700/100000, max_score=90.3411, min_score=84.7081, time=1.27271h
loop_count=27800/100000, max_score=90.3411, min_score=84.7205, time=1.27726h
loop_count=27900/100000, max_score=90.3411, min_score=84.748, time=1.28212h
loop_count=28000/100000, max_score=90.3411, min_score=84.7682, time=1.28679h
loop_count=28100/100000, max_score=90.3411, min_score=84.8063, time=1.29134h
loop_count=28200/100000, max_score=90.3411, min_score=84.842, time=1.29589h
loop_count=28300/100000, max_score=90.3411, min_score=84.8879, time=1.30081h
loop_count=28400/100000, max_score=90.3411, min_score=84.9164, time=1.30552h
loop_count=28500/100000, max_score=90.3411, min_score=84.9468, time=1.3101h
loop_count=28600/100000, max_score=90.3411, min_score=85.0109, time=1.31477h
loop_count=28700/100000, max_score=90.3411, min_score=85.0456, time=1.31954h
loop_count=28800/100000, max_score=90.3411, min_score=85.0648, time=1.32379h
loop_count=28900/100000, max_score=90.3411, min_score=85.0995, time=1.32872h
loop_count=29000/100000, max_score=90.3411, min_score=85.1373, time=1.3335h
loop_count=29100/100000, max_score=90.3411, min_score=85.2355, time=1.33853h
loop_count=29200/100000, max_score=90.3411, min_score=85.2661, time=1.34311h
loop_count=29300/100000, max_score=90.3411, min_score=85.291, time=1.34754h
loop_count=29400/100000, max_score=90.3411, min_score=85.3521, time=1.35239h
loop_count=29500/100000, max_score=90.3411, min_score=85.4198, time=1.35691h
loop_count=29600/100000, max_score=90.3411, min_score=85.4815, time=1.3617h
loop_count=29700/100000, max_score=90.3411, min_score=85.5329, time=1.36638h
loop_count=29800/100000, max_score=90.3411, min_score=85.5612, time=1.37095h
loop_count=29900/100000, max_score=90.3411, min_score=85.6324, time=1.37558h
loop_count=30000/100000, max_score=90.3411, min_score=85.6859, time=1.38037h
loop_count=30100/100000, max_score=90.3411, min_score=85.7105, time=1.38495h
loop_count=30200/100000, max_score=90.3411, min_score=85.8244, time=1.38987h
loop_count=30300/100000, max_score=90.3411, min_score=85.8769, time=1.39443h
loop_count=30400/100000, max_score=90.3411, min_score=85.9446, time=1.39911h
loop_count=30500/100000, max_score=90.3411, min_score=85.986, time=1.40377h
loop_count=30600/100000, max_score=90.3411, min_score=86.041, time=1.40841h
loop_count=30700/100000, max_score=90.3411, min_score=86.0761, time=1.41313h
loop_count=30800/100000, max_score=90.3411, min_score=86.1076, time=1.41767h
loop_count=30900/100000, max_score=90.3411, min_score=86.1549, time=1.42233h
loop_count=31000/100000, max_score=90.3411, min_score=86.1989, time=1.4269h
loop_count=31100/100000, max_score=90.3411, min_score=86.226, time=1.43149h
loop_count=31200/100000, max_score=90.3411, min_score=86.2367, time=1.43592h
loop_count=31300/100000, max_score=90.3411, min_score=86.2541, time=1.44007h
loop_count=31400/100000, max_score=90.3411, min_score=86.274, time=1.44449h
loop_count=31500/100000, max_score=90.3411, min_score=86.2881, time=1.44905h
loop_count=31600/100000, max_score=90.3411, min_score=86.3163, time=1.45359h
loop_count=31700/100000, max_score=90.3411, min_score=86.3332, time=1.45833h
loop_count=31800/100000, max_score=90.3411, min_score=86.351, time=1.46284h
loop_count=31900/100000, max_score=90.3411, min_score=86.3779, time=1.46748h
loop_count=32000/100000, max_score=90.3411, min_score=86.4218, time=1.47251h
loop_count=32100/100000, max_score=90.3411, min_score=86.4476, time=1.47723h
loop_count=32200/100000, max_score=90.3411, min_score=86.4923, time=1.48179h
loop_count=32300/100000, max_score=90.3411, min_score=86.5092, time=1.48643h
loop_count=32400/100000, max_score=90.3411, min_score=86.5329, time=1.4912h
loop_count=32500/100000, max_score=90.3411, min_score=86.5778, time=1.49578h
loop_count=32600/100000, max_score=90.3411, min_score=86.6011, time=1.50025h
loop_count=32700/100000, max_score=90.3411, min_score=86.6414, time=1.50494h
loop_count=32800/100000, max_score=90.4878, min_score=86.6929, time=1.50992h
loop_count=32900/100000, max_score=90.4878, min_score=86.7158, time=1.5147h
loop_count=33000/100000, max_score=90.8596, min_score=86.7746, time=1.51966h
